UT_TIME TOTAL_TIME DIFF
0.356 7.864 7.508
8.488 15.996 7.508
12.896 20.418 7.522
6.374 13.907 7.533
0.259 7.800 7.541
0.494 8.047 7.553
8.688 16.244 7.556
0.16 7.719 7.559
14.724 22.288 7.564
11.692 19.264 7.572
14.976 22.548 7.572
16.196 23.768 7.572
7.072 14.644 7.572
6.235 13.816 7.581
1.232 8.814 7.582
1.717 9.300 7.583
11.405 18.993 7.588
15.539 23.128 7.589
0.416 8.010 7.594
7.057 14.655 7.598
21.523 29.126 7.603
1.738 9.349 7.611
4.303 11.914 7.611
19.45 27.064 7.614
12.571 20.192 7.621
15.712 23.335 7.623
0.872 8.496 7.624
8.149 15.776 7.627
15.194 22.825 7.631
28.466 36.102 7.636
15.505 23.142 7.637
14.264 21.921 7.657
0.887 8.545 7.658
17.479 25.138 7.659
3.812 11.472 7.660
5.818 13.478 7.660
0.092 7.756 7.664
21.153 28.817 7.664
7.42 15.090 7.670
14.954 22.629 7.675
0.589 8.266 7.677
12.486 20.163 7.677
15.706 23.385 7.679
2.121 9.803 7.682
0.265 7.952 7.687
8.583 16.271 7.688
1.652 9.346 7.694
14.923 22.623 7.700
0.233 7.939 7.706
7.332 15.038 7.706
0.65 8.358 7.708
1.108 8.817 7.709
10.99 18.704 7.714
0.351 8.069 7.718
13.005 20.724 7.719
14.708 22.439 7.731
2.15 9.893 7.743
0.118 7.864 7.746
8.24 15.995 7.755
14.791 22.550 7.759
1.787 9.547 7.760
15.215 22.980 7.765
0.079 7.846 7.767
11.489 19.261 7.772
8.408 16.183 7.775
17.993 25.771 7.778
0.213 7.995 7.782
9.383 17.165 7.782
11.867 19.661 7.794
0.388 8.186 7.798
7.679 15.478 7.799
0.324 8.135 7.811
11.6 19.411 7.811
8.503 16.314 7.811
15.415 23.233 7.818
2.888 10.707 7.819
17.729 25.550 7.821
14.366 22.188 7.822
11.633 19.459 7.826
2.246 10.076 7.830
8.999 16.829 7.830
8.828 16.671 7.843
7.441 15.288 7.847
10.12 17.969 7.849
21.422 29.271 7.849
1.31 9.160 7.850
0.304 8.157 7.853
24.859 32.729 7.870
17.958 25.831 7.873
6.957 14.832 7.875
8.051 15.926 7.875
16.138 24.014 7.876
11.448 19.334 7.886
15.137 23.024 7.887
16.459 24.349 7.890
10.666 18.561 7.895
17.472 25.369 7.897
1.93 9.828 7.898
0.528 8.427 7.899
12.287 20.187 7.900
13.303 21.205 7.902
0.239 8.146 7.907
0.144 8.052 7.908
13.15 21.059 7.909
0.259 8.171 7.912
0.409 8.327 7.918
8.053 15.977 7.924
19.541 27.467 7.926
8.836 16.764 7.928
3.601 11.532 7.931
17.08 25.018 7.938
23.749 31.688 7.939
0.419 8.371 7.952
0.112 8.068 7.956
6.373 14.331 7.958
7.737 15.699 7.962
8.233 16.196 7.963
0.459 8.423 7.964
7.018 14.990 7.972
3.882 11.857 7.975
0.229 8.207 7.978
0.442 8.421 7.979
8.331 16.312 7.981
8.264 16.247 7.983
8.565 16.548 7.983
14.231 22.217 7.986
8.42 16.407 7.987
5.198 13.192 7.994
18.665 26.661 7.996
18.477 26.480 8.003
11.044 19.051 8.007
4.639 12.647 8.008
11.126 19.139 8.013
10.887 18.902 8.015
20.839 28.856 8.017
17.064 25.082 8.018
10.546 18.567 8.021
10.03 18.054 8.024
0.366 8.391 8.025
24.087 32.113 8.026
39.38 47.406 8.026
8.075 16.103 8.028
8.552 16.580 8.028
10.944 18.978 8.034
6.825 14.859 8.034
9.299 17.335 8.036
5.994 14.033 8.039
9.513 17.558 8.045
8.145 16.192 8.047
9.008 17.055 8.047
11.651 19.706 8.055
0.901 8.961 8.060
0.3 8.362 8.062
15.75 23.815 8.065
15.622 23.690 8.068
7.217 15.294 8.077
13.763 21.849 8.086
7.512 15.600 8.088
24.462 32.551 8.089
0.482 8.575 8.093
17.793 25.886 8.093
21.058 29.152 8.094
6.369 14.464 8.095
22.463 30.560 8.097
14.076 22.180 8.104
1.248 9.354 8.106
15.331 23.439 8.108
14.604 22.717 8.113
33.08 41.193 8.113
8.645 16.761 8.116
32.26 40.378 8.118
0.849 8.972 8.123
1.87 9.995 8.125
14.86 22.986 8.126
7.784 15.910 8.126
1.186 9.315 8.129
7.984 16.115 8.131
10.399 18.540 8.141
5.863 14.011 8.148
8.011 16.159 8.148
0.386 8.536 8.150
0.138 8.294 8.156
15.957 24.116 8.159
11.155 19.315 8.160
0.649 8.810 8.161
1.745 9.907 8.162
22.795 30.957 8.162
10.205 18.368 8.163
25.069 33.232 8.163
9.983 18.146 8.163
3.653 11.819 8.166
0.442 8.611 8.169
15.069 23.239 8.170
1.965 10.135 8.170
0.38 8.555 8.175
19.548 27.730 8.182
12.643 20.830 8.187
3.073 11.263 8.190
23.495 31.688 8.193
1.649 9.843 8.194
15.551 23.746 8.195
6.761 14.956 8.195
7.889 16.087 8.198
8.313 16.518 8.205
12.084 20.296 8.212
9.063 17.281 8.218
8.153 16.373 8.220
10.811 19.032 8.221
21.241 29.463 8.222
7.962 16.191 8.229
10.721 18.951 8.230
0.898 9.133 8.235
0.287 8.525 8.238
8.158 16.398 8.240
9.237 17.478 8.241
7.571 15.816 8.245
8.044 16.290 8.246
0.491 8.739 8.248
3.863 12.112 8.249
0.174 8.427 8.253
6.948 15.209 8.261
6.898 15.160 8.262
13.643 21.915 8.272
17.64 25.916 8.276
1.177 9.456 8.279
24.371 32.650 8.279
11.822 20.102 8.280
11.021 19.304 8.283
0.901 9.185 8.284
0.458 8.747 8.289
15.435 23.730 8.295
17.915 26.215 8.300
4.034 12.335 8.301
17.729 26.032 8.303
0.44 8.746 8.306
0.571 8.878 8.307
20.519 28.826 8.307
22.314 30.622 8.308
0.215 8.525 8.310
17.335 25.646 8.311
20.579 28.893 8.314
9.576 17.891 8.315
17.955 26.272 8.317
6.135 14.456 8.321
12.018 20.343 8.325
12.894 21.220 8.326
47.485 55.823 8.338
0.343 8.684 8.341
20.068 28.409 8.341
18.147 26.489 8.342
7.276 15.623 8.347
15.084 23.452 8.368
1.81 10.181 8.371
11.994 20.372 8.378
8.936 17.315 8.379
0.384 8.765 8.381
10.359 18.740 8.381
4.199 12.583 8.384
8.834 17.223 8.389
1.082 9.476 8.394
0.641 9.041 8.400
14.044 22.448 8.404
5.445 13.855 8.410
5.318 13.741 8.423
23.698 32.123 8.425
10.57 19.003 8.433
11.757 20.190 8.433
14.263 22.699 8.436
6 14.437 8.437
15.224 23.667 8.443
14.807 23.253 8.446
0.984 9.431 8.447
6.421 14.868 8.447
12.243 20.694 8.451
6.924 15.392 8.468
0.949 9.420 8.471
15.823 24.299 8.476
2.35 10.827 8.477
10.894 19.372 8.478
8.545 17.023 8.478
12.136 20.616 8.480
12.799 21.288 8.489
0.361 8.855 8.494
8.22 16.719 8.499
9.792 18.294 8.502
7.82 16.325 8.505
0.328 8.835 8.507
3.63 12.137 8.507
8.197 16.704 8.507
8.61 17.121 8.511
15.119 23.632 8.513
0.911 9.425 8.514
9.742 18.257 8.515
13.601 22.118 8.517
7.759 16.287 8.528
7.367 15.897 8.530
9.833 18.364 8.531
16.898 25.431 8.533
3.744 12.280 8.536
7.841 16.379 8.538
1.084 9.625 8.541
7.396 15.943 8.547
0.332 8.884 8.552
7.903 16.456 8.553
10.013 18.569 8.556
12.923 21.482 8.559
8.322 16.881 8.559
12.923 21.485 8.562
5.136 13.700 8.564
11.277 19.846 8.569
17.316 25.886 8.570
0.392 8.973 8.581
3.98 12.566 8.586
12.349 20.936 8.587
0.708 9.299 8.591
0.422 9.014 8.592
0.379 8.975 8.596
6.727 15.323 8.596
4.488 13.089 8.601
2.867 11.469 8.602
8.828 17.436 8.608
8 16.612 8.612
2.414 11.028 8.614
0.298 8.915 8.617
0.423 9.042 8.619
8.425 17.044 8.619
17.22 25.840 8.620
14.217 22.838 8.621
0.622 9.247 8.625
10.525 19.150 8.625
8.134 16.760 8.626
10.487 19.116 8.629
15.364 23.994 8.630
1.003 9.635 8.632
0.12 8.756 8.636
9.928 18.565 8.637
0.386 9.024 8.638
20.433 29.071 8.638
0.778 9.417 8.639
6.838 15.480 8.642
0.86 9.509 8.649
10.91 19.559 8.649
1.022 9.675 8.653
8.569 17.229 8.660
2.256 10.917 8.661
14.757 23.420 8.663
26.43 35.093 8.663
17.637 26.302 8.665
6.257 14.923 8.666
0.267 8.938 8.671
12.102 20.774 8.672
7.896 16.568 8.672
0.873 9.547 8.674
10.128 18.809 8.681
0.394 9.076 8.682
6.94 15.622 8.682
11.505 20.194 8.689
8.167 16.859 8.692
18.497 27.190 8.693
8.093 16.786 8.693
10.95 19.646 8.696
18.06 26.759 8.699
8.161 16.861 8.700
7.636 16.338 8.702
5.593 14.297 8.704
5.895 14.599 8.704
9.696 18.400 8.704
21.884 30.594 8.710
12.833 21.546 8.713
6.665 15.386 8.721
9.586 18.309 8.723
8.604 17.333 8.729
18.307 27.040 8.733
7.074 15.807 8.733
16.342 25.077 8.735
17.802 26.538 8.736
7.402 16.140 8.738
7.444 16.182 8.738
14.391 23.132 8.741
7.459 16.214 8.755
8.706 17.465 8.759
14.753 23.514 8.761
17.886 26.647 8.761
8.273 17.036 8.763
0.825 9.590 8.765
29.292 38.057 8.765
0.696 9.462 8.766
0.23 9.003 8.773
2.324 11.099 8.775
10.912 19.688 8.776
0.718 9.495 8.777
21.617 30.399 8.782
7.219 16.005 8.786
8.159 16.945 8.786
8.427 17.218 8.791
3.8 12.593 8.793
20.555 29.358 8.803
37.991 46.797 8.806
24.525 33.334 8.809
0.294 9.105 8.811
2.941 11.753 8.812
11.716 20.529 8.813
1.715 10.532 8.817
0.48 9.308 8.828
8.635 17.478 8.843
1.083 9.931 8.848
5.417 14.266 8.849
14.484 23.334 8.850
0.57 9.422 8.852
11.411 20.266 8.855
7.212 16.067 8.855
7.45 16.308 8.858
7.416 16.282 8.866
5.332 14.201 8.869
22.813 31.687 8.874
10.404 19.280 8.876
11.25 20.128 8.878
0.641 9.520 8.879
14.71 23.589 8.879
3.655 12.538 8.883
7.231 16.114 8.883
11.321 20.210 8.889
8.585 17.474 8.889
0.87 9.764 8.894
15.027 23.927 8.900
10.624 19.527 8.903
9.264 18.172 8.908
0.075 8.986 8.911
3.509 12.423 8.914
9.505 18.421 8.916
5.537 14.454 8.917
15.896 24.814 8.918
7.998 16.916 8.918
9.207 18.126 8.919
9.964 18.887 8.923
8.851 17.780 8.929
6.561 15.493 8.932
0.712 9.648 8.936
9.888 18.824 8.936
18.61 27.552 8.942
3.129 12.073 8.944
25.534 34.485 8.951
10.411 19.369 8.958
17.906 26.866 8.960
7.138 16.100 8.962
18.918 27.881 8.963
8.337 17.300 8.963
7.412 16.377 8.965
12.916 21.883 8.967
6.274 15.241 8.967
7.476 16.445 8.969
8.738 17.708 8.970
10.906 19.883 8.977
19.944 28.922 8.978
5.855 14.842 8.987
0.701 9.691 8.990
2.392 11.382 8.990
9.311 18.306 8.995
0.209 9.205 8.996
6.816 15.813 8.997
9.995 19.002 9.007
8.517 17.533 9.016
14.503 23.522 9.019
21.395 30.415 9.020
10.007 19.028 9.021
3.043 12.064 9.021
3.429 12.453 9.024
21.475 30.507 9.032
0.21 9.245 9.035
19.649 28.685 9.036
10.983 20.020 9.037
6.71 15.748 9.038
14.81 23.849 9.039
8.217 17.256 9.039
7.854 16.894 9.040
8.235 17.277 9.042
17.178 26.222 9.044
7.519 16.565 9.046
9.864 18.913 9.049
13.224 22.274 9.050
14.451 23.501 9.050
8.03 17.081 9.051
6.692 15.751 9.059
8.173 17.232 9.059
10.987 20.048 9.061
6.674 15.739 9.065
3.447 12.513 9.066
0.781 9.848 9.067
14.133 23.201 9.068
3.926 12.996 9.070
8.363 17.437 9.074
8.4 17.474 9.074
7.971 17.046 9.075
4.548 13.628 9.080
8.804 17.885 9.081
9.98 19.061 9.081
10.939 20.021 9.082
6.582 15.670 9.088
3.455 12.545 9.090
1.09 10.181 9.091
1.348 10.441 9.093
12.474 21.571 9.097
11.22 20.319 9.099
4.856 13.955 9.099
10.876 19.978 9.102
1.077 10.184 9.107
13.457 22.564 9.107
0.267 9.376 9.109
6.958 16.067 9.109
0.816 9.926 9.110
7.183 16.293 9.110
10.212 19.323 9.111
7.796 16.908 9.112
5.741 14.857 9.116
9.011 18.133 9.122
6.49 15.615 9.125
19.931 29.058 9.127
9.827 18.956 9.129
11.555 20.685 9.130
7.862 16.992 9.130
20.015 29.146 9.131
15.361 24.493 9.132
0.284 9.418 9.134
6.127 15.262 9.135
8.235 17.370 9.135
1.221 10.357 9.136
10.013 19.150 9.137
7.199 16.337 9.138
7.51 16.652 9.142
8.535 17.677 9.142
7.483 16.627 9.144
7.552 16.696 9.144
11.105 20.252 9.147
16.623 25.770 9.147
9.448 18.598 9.150
10.917 20.069 9.152
19.562 28.717 9.155
0.387 9.544 9.157
7.188 16.348 9.160
23.064 32.227 9.163
8.933 18.096 9.163
1.13 10.295 9.165
8.407 17.574 9.167
27.001 36.170 9.169
17.488 26.658 9.170
0.302 9.475 9.173
10.549 19.726 9.177
10.661 19.842 9.181
12.907 22.088 9.181
6.547 15.730 9.183
7.946 17.132 9.186
9.98 19.167 9.187
2.618 11.808 9.190
7.72 16.910 9.190
27.775 36.966 9.191
8.246 17.437 9.191
0.093 9.286 9.193
3.566 12.762 9.196
0.938 10.138 9.200
24.847 34.048 9.201
7.914 17.115 9.201
1.058 10.260 9.202
12.808 22.010 9.202
8.189 17.392 9.203
0.422 9.630 9.208
8.21 17.420 9.210
8.018 17.230 9.212
21.825 31.039 9.214
6.782 15.997 9.215
9.568 18.783 9.215
14.826 24.043 9.217
2.098 11.316 9.218
0.969 10.189 9.220
6.248 15.470 9.222
7.973 17.197 9.224
0.784 10.011 9.227
7.739 16.966 9.227
21.221 30.450 9.229
2.777 12.007 9.230
0.466 9.697 9.231
0.395 9.627 9.232
0.816 10.051 9.235
18.985 28.220 9.235
7.036 16.271 9.235
9.279 18.514 9.235
0.742 9.981 9.239
8.91 18.149 9.239
5.74 14.981 9.241
2.044 11.294 9.250
10.019 19.270 9.251
8.488 17.745 9.257
19.88 29.141 9.261
6.079 15.346 9.267
8.3 17.569 9.269
7.093 16.364 9.271
1.056 10.331 9.275
20.83 30.108 9.278
12.497 21.777 9.280
10.941 20.222 9.281
7.859 17.147 9.288
29.721 39.011 9.290
8.12 17.410 9.290
0.722 10.013 9.291
22.607 31.899 9.292
18.919 28.212 9.293
5.246 14.540 9.294
1.035 10.331 9.296
22.957 32.253 9.296
13.696 22.996 9.300
5.851 15.156 9.305
9.897 19.206 9.309
3.884 13.194 9.310
8.308 17.619 9.311
7.203 16.515 9.312
8.129 17.441 9.312
1.751 11.071 9.320
6.274 15.595 9.321
18.158 27.480 9.322
10.628 19.954 9.326
17.734 27.063 9.329
7.291 16.620 9.329
7.479 16.809 9.330
1.186 10.518 9.332
11.683 21.018 9.335
10.323 19.660 9.337
9.699 19.039 9.340
17.732 27.073 9.341
8.053 17.397 9.344
1.715 11.064 9.349
12.767 22.118 9.351
1.627 10.979 9.352
23.13 32.482 9.352
7.383 16.737 9.354
11.699 21.054 9.355
1.035 10.391 9.356
19.191 28.548 9.357
8.283 17.641 9.358
6.342 15.705 9.363
8.638 18.001 9.363
11.815 21.179 9.364
14.093 23.460 9.367
32.686 42.055 9.369
7.55 16.923 9.373
30.111 39.485 9.374
10.075 19.453 9.378
8.984 18.363 9.379
4.142 13.524 9.382
6.865 16.249 9.384
3.632 13.017 9.385
7.736 17.122 9.386
8.142 17.528 9.386
10.089 19.478 9.389
10.783 20.172 9.389
26.881 36.271 9.390
7.995 17.385 9.390
16.291 25.682 9.391
9.543 18.934 9.391
11.486 20.879 9.393
19.093 28.486 9.393
11.14 20.541 9.401
1.674 11.079 9.405
25.736 35.143 9.407
7.365 16.772 9.407
10.27 19.678 9.408
17.022 26.431 9.409
8.051 17.461 9.410
0.96 10.374 9.414
8.926 18.342 9.416
33.967 43.386 9.419
7.618 17.037 9.419
20.712 30.133 9.421
7.145 16.571 9.426
12.2 21.631 9.431
8.002 17.434 9.432
7.442 16.876 9.434
1.302 10.741 9.439
0.305 9.745 9.440
6.573 16.020 9.447
9.216 18.663 9.447
7.148 16.598 9.450
7.7 17.151 9.451
4.578 14.031 9.453
8.196 17.650 9.454
13.28 22.741 9.461
7.513 16.975 9.462
9.743 19.210 9.467
4.311 13.780 9.469
20.72 30.191 9.471
13.718 23.190 9.472
5.947 15.419 9.472
8.781 18.254 9.473
9.802 19.285 9.483
13.804 23.289 9.485
7.059 16.550 9.491
6.031 15.523 9.492
6.265 15.758 9.493
5.823 15.318 9.495
12.807 22.304 9.497
25.951 35.450 9.499
8.907 18.408 9.501
7.781 17.283 9.502
11.337 20.842 9.505
11.884 21.389 9.505
6.453 15.958 9.505
14.074 23.582 9.508
13.885 23.394 9.509
11.067 20.583 9.516
33.554 43.071 9.517
1.336 10.854 9.518
8.322 17.840 9.518
10.406 19.926 9.520
11.193 20.713 9.520
7.376 16.896 9.520
12.051 21.572 9.521
8.637 18.160 9.523
21.37 30.894 9.524
11.012 20.545 9.533
6.795 16.328 9.533
4.875 14.409 9.534
22.982 32.518 9.536
14.905 24.442 9.537
10.257 19.795 9.538
11.227 20.771 9.544
8.766 18.313 9.547
2.498 12.048 9.550
8.539 18.091 9.552
8.565 18.118 9.553
20.918 30.474 9.556
7.097 16.655 9.558
9.185 18.744 9.559
21.424 30.986 9.562
21.508 31.072 9.564
14.792 24.361 9.569
7.968 17.540 9.572
9.685 19.257 9.572
6.929 16.504 9.575
10.612 20.188 9.576
7.099 16.678 9.579
10.519 20.108 9.589
15.547 25.144 9.597
0.601 10.201 9.600
7.737 17.339 9.602
9.745 19.348 9.603
1.939 11.543 9.604
7.704 17.309 9.605
0.606 10.212 9.606
10.696 20.306 9.610
6.119 15.734 9.615
9.98 19.598 9.618
17.679 27.298 9.619
7.034 16.654 9.620
8.677 18.300 9.623
7.331 16.955 9.624
10.437 20.066 9.629
0.243 9.874 9.631
10.279 19.910 9.631
0.801 10.433 9.632
11.525 21.157 9.632
13.125 22.757 9.632
7.599 17.233 9.634
38.7 48.335 9.635
8.515 18.153 9.638
6.979 16.618 9.639
1.243 10.883 9.640
18.917 28.558 9.641
8.85 18.492 9.642
7.716 17.359 9.643
6.056 15.704 9.648
7.736 17.385 9.649
6.405 16.055 9.650
7.451 17.107 9.656
7.566 17.225 9.659
0.261 9.924 9.663
9.113 18.777 9.664
10.667 20.333 9.666
17.514 27.180 9.666
13.778 23.445 9.667
49.709 59.376 9.667
8.849 18.516 9.667
0.712 10.382 9.670
12.477 22.148 9.671
7.839 17.511 9.672
7.916 17.588 9.672
12.961 22.640 9.679
7.816 17.498 9.682
10.813 20.499 9.686
6.357 16.052 9.695
7.532 17.228 9.696
10.242 19.940 9.698
23.783 33.481 9.698
17.621 27.322 9.701
8.921 18.622 9.701
11.248 20.956 9.708
0.902 10.612 9.710
14.706 24.417 9.711
17.802 27.514 9.712
11.786 21.499 9.713
14.023 23.738 9.715
9.73 19.445 9.715
17.782 27.506 9.724
6.726 16.450 9.724
0.34 10.065 9.725
9.915 19.641 9.726
6.09 15.818 9.728
6.914 16.642 9.728
0.908 10.639 9.731
8.202 17.933 9.731
6.948 16.681 9.733
23.828 33.564 9.736
1.21 10.954 9.744
7.939 17.684 9.745
37.651 47.401 9.750
10.888 20.647 9.759
7.013 16.774 9.761
9.706 19.468 9.762
13.235 23.002 9.767
14.511 24.279 9.768
1.978 11.746 9.768
9.254 19.028 9.774
8.899 18.675 9.776
17.331 27.109 9.778
8.002 17.783 9.781
11.714 21.496 9.782
5.766 15.549 9.783
9.745 19.528 9.783
21.008 30.798 9.790
25.093 34.883 9.790
11.397 21.188 9.791
1.699 11.494 9.795
6.987 16.786 9.799
6.11 15.912 9.802
9.818 19.624 9.806
10.331 20.140 9.809
12.042 21.853 9.811
6.339 16.153 9.814
20.529 30.346 9.817
8.259 18.080 9.821
20.253 30.075 9.822
8.401 18.225 9.824
3.318 13.145 9.827
10.5 20.329 9.829
7.814 17.645 9.831
8.857 18.690 9.833
11.024 20.858 9.834
13.201 23.036 9.835
7.211 17.048 9.837
0.812 10.652 9.840
7.845 17.685 9.840
9.191 19.031 9.840
0.955 10.796 9.841
22.778 32.622 9.844
9.15 18.994 9.844
8.23 18.077 9.847
1.632 11.481 9.849
15.436 25.286 9.850
9.869 19.724 9.855
6.222 16.080 9.858
11.85 21.709 9.859
7.769 17.628 9.859
8.004 17.871 9.867
18.287 28.156 9.869
2.266 12.137 9.871
7.647 17.518 9.871
14.956 24.832 9.876
0.826 10.703 9.877
9.718 19.598 9.880
16.695 26.578 9.883
4.561 14.445 9.884
10.029 19.916 9.887
10.216 20.104 9.888
11.334 21.222 9.888
24.652 34.541 9.889
7.68 17.570 9.890
7.438 17.333 9.895
1.017 10.914 9.897
13.938 23.842 9.904
8.543 18.449 9.906
7.094 17.001 9.907
20.251 30.159 9.908
15.825 25.739 9.914
10.657 20.572 9.915
7.164 17.079 9.915
20.468 30.384 9.916
19.865 29.783 9.918
7.918 17.836 9.918
6.415 16.334 9.919
7.732 17.651 9.919
9.58 19.499 9.919
6.644 16.569 9.925
8.654 18.579 9.925
7.334 17.260 9.926
10.642 20.569 9.927
8.867 18.794 9.927
9.989 19.923 9.934
11.188 21.124 9.936
2.964 12.900 9.936
6.979 16.915 9.936
1.309 11.246 9.937
2.512 12.451 9.939
14.167 24.107 9.940
7.817 17.757 9.940
9.329 19.269 9.940
7.482 17.423 9.941
7.747 17.689 9.942
11.101 21.051 9.950
7.212 17.165 9.953
7.139 17.093 9.954
12.623 22.581 9.958
15.803 25.767 9.964
7.565 17.529 9.964
6.51 16.475 9.965
9.762 19.727 9.965
10.475 20.448 9.973
8.781 18.755 9.974
9.333 19.308 9.975
27.488 37.467 9.979
12.819 22.804 9.985
11.677 21.663 9.986
21.953 31.939 9.986
0.835 10.823 9.988
8.375 18.365 9.990
8.669 18.660 9.991
14.428 24.422 9.994
10.301 20.297 9.996
9.973 19.969 9.996
6.013 16.010 9.997
0.617 10.615 9.998
8.607 18.606 9.999
8.412 18.412 10.000
9.271 19.275 10.004
9.608 19.612 10.004
1.05 11.056 10.006
5.698 15.705 10.007
8.601 18.608 10.007
14.12 24.138 10.018
11.653 21.672 10.019
19.368 29.387 10.019
11.856 21.879 10.023
17.162 27.185 10.023
9.139 19.163 10.024
9.714 19.744 10.030
7.984 18.021 10.037
1.026 11.065 10.039
11.588 21.627 10.039
8.331 18.370 10.039
8.671 18.719 10.048
1.401 11.452 10.051
7.272 17.326 10.054
10.161 20.219 10.058
11.977 22.037 10.060
24.102 34.162 10.060
1.214 11.278 10.064
9.542 19.611 10.069
23.945 34.015 10.070
8.907 18.977 10.070
11.889 21.960 10.071
4.454 14.525 10.071
12.005 22.079 10.074
8.387 18.463 10.076
0.403 10.485 10.082
1.63 11.712 10.082
15.374 25.460 10.086
8.101 18.187 10.086
9.294 19.386 10.092
10.982 21.082 10.100
12.243 22.343 10.100
9.915 20.015 10.100
0.227 10.331 10.104
18.644 28.749 10.105
14.397 24.503 10.106
12.923 23.033 10.110
8.804 18.915 10.111
1.389 11.503 10.114
11.345 21.460 10.115
13.013 23.129 10.116
2.252 12.372 10.120
22.733 32.854 10.121
10.206 20.330 10.124
8.666 18.792 10.126
0.316 10.444 10.128
11.553 21.681 10.128
28.472 38.601 10.129
9.521 19.650 10.129
9.666 19.798 10.132
11.264 21.399 10.135
4.515 14.650 10.135
8.773 18.913 10.140
7.718 17.860 10.142
8.576 18.718 10.142
10.602 20.745 10.143
10.231 20.375 10.144
3.89 14.037 10.147
7.959 18.106 10.147
0.812 10.963 10.151
19.487 29.638 10.151
9.786 19.938 10.152
9.081 19.234 10.153
9.438 19.604 10.166
1.732 11.899 10.167
8.523 18.693 10.170
1.215 11.389 10.174
9.601 19.775 10.174
9.146 19.321 10.175
22.5 32.677 10.177
11.716 21.894 10.178
10.872 21.053 10.181
10.704 20.889 10.185
15.193 25.379 10.186
9.558 19.746 10.188
17.79 27.979 10.189
8.998 19.190 10.192
9.578 19.773 10.195
0.789 10.987 10.198
9.668 19.868 10.200
7.669 17.870 10.201
8.738 18.941 10.203
7.738 17.944 10.206
10.426 20.634 10.208
6.448 16.656 10.208
5.838 16.047 10.209
10.665 20.875 10.210
0.727 10.939 10.212
