UT_TIME TOTAL_TIME DIFF
8.641 14.033 5.392
21.832 27.238 5.406
8.122 13.579 5.457
0.152 5.624 5.472
0.078 5.566 5.488
0.65 6.181 5.531
10.823 16.406 5.583
9.035 14.653 5.618
11.878 17.639 5.761
8.535 14.374 5.839
11.556 17.422 5.866
18.162 24.051 5.889
8.653 14.587 5.934
8.522 14.503 5.981
1.53 7.555 6.025
8.335 14.400 6.065
31.675 37.755 6.080
11.118 17.220 6.102
8.689 14.833 6.144
46.15 52.310 6.160
0.164 6.347 6.183
0.092 6.337 6.245
11.069 17.353 6.284
18.054 24.387 6.333
16.985 23.423 6.438
17.206 23.647 6.441
10.019 16.476 6.457
17.268 23.749 6.481
0.136 6.668 6.532
20.228 26.793 6.565
0.183 6.759 6.576
20.617 27.206 6.589
14.851 21.469 6.618
0.891 7.544 6.653
0.145 6.803 6.658
20.003 26.661 6.658
0.144 6.803 6.659
14.137 20.819 6.682
15.965 22.682 6.717
23.509 30.231 6.722
0.099 6.833 6.734
0.078 6.821 6.743
19.971 26.734 6.763
0.123 6.895 6.772
15.081 21.853 6.772
46.891 53.678 6.787
6.766 13.555 6.789
0.106 6.902 6.796
15.449 22.251 6.802
3.23 10.034 6.804
0.597 7.433 6.836
15.379 22.217 6.838
12.525 19.391 6.866
0.103 6.984 6.881
11.11 17.995 6.885
0.096 6.982 6.886
0.109 6.998 6.889
12.233 19.143 6.910
20.952 27.881 6.929
2.051 8.995 6.944
19.561 26.510 6.949
0.159 7.117 6.958
14.388 21.364 6.976
12.912 19.895 6.983
1.493 8.484 6.991
19.06 26.051 6.991
6.56 13.556 6.996
8.727 15.724 6.997
9.14 16.139 6.999
8.667 15.668 7.001
0.55 7.552 7.002
0.997 8.002 7.005
19.526 26.534 7.008
27.805 34.820 7.015
0.772 7.800 7.028
1.249 8.279 7.030
6.878 13.910 7.032
0.081 7.117 7.036
9.193 16.230 7.037
17.26 24.298 7.038
7.471 14.521 7.050
0.105 7.168 7.063
0.361 7.429 7.068
7.279 14.354 7.075
0.438 7.520 7.082
0.38 7.468 7.088
13.762 20.856 7.094
15.223 22.320 7.097
18.093 25.194 7.101
15.725 22.833 7.108
12.23 19.341 7.111
19.15 26.263 7.113
0.421 7.535 7.114
0.851 7.988 7.137
15.718 22.864 7.146
3.195 10.343 7.148
19.408 26.568 7.160
18.706 25.873 7.167
16.998 24.166 7.168
8.592 15.767 7.175
14.343 21.525 7.182
17.551 24.745 7.194
15.98 23.178 7.198
7.328 14.531 7.203
9.005 16.208 7.203
21.13 28.340 7.210
16.109 23.361 7.252
7.377 14.634 7.257
1.431 8.696 7.265
0.132 7.408 7.276
12.059 19.336 7.277
0.568 7.877 7.309
25.188 32.497 7.309
0.304 7.628 7.324
10.905 18.250 7.345
0.518 7.868 7.350
7.99 15.342 7.352
13.938 21.291 7.353
1.945 9.304 7.359
15.565 22.930 7.365
13.889 21.257 7.368
12.669 20.039 7.370
11.037 18.423 7.386
19.048 26.445 7.397
15.542 22.961 7.419
0.386 7.808 7.422
0.901 8.329 7.428
17.56 24.990 7.430
20.976 28.417 7.441
14.192 21.635 7.443
15.839 23.282 7.443
9.441 16.905 7.464
17.938 25.406 7.468
18.131 25.599 7.468
6.013 13.483 7.470
5.128 12.602 7.474
0.272 7.758 7.486
0.243 7.733 7.490
8.803 16.295 7.492
7.06 14.556 7.496
17.511 25.011 7.500
