2020-12-03 07:20:34,889 [main] INFO  common.Util (Util.java:isDiskStatsEnabled(395)) - dfs.datanode.fileio.profiling.sampling.percentage set to 0. Disabling file IO profiling
2020-12-03 07:20:34,920 [main] INFO  blockmanagement.DatanodeManager (DatanodeManager.java:<init>(303)) - dfs.block.invalidate.limit: configured=1000, counted=60, effected=1000
2020-12-03 07:20:34,920 [main] INFO  blockmanagement.DatanodeManager (DatanodeManager.java:<init>(311)) - dfs.namenode.datanode.registration.ip-hostname-check=true
2020-12-03 07:20:34,920 [main] WARN  blockmanagement.DatanodeManager (DatanodeManager.java:getStaleIntervalFromConf(368)) - The given interval for marking stale datanode = 1800000, which is larger than heartbeat expire interval 630000.
2020-12-03 07:20:34,934 [Thread-3] INFO  blockmanagement.TestSortLocatedStripedBlock (TestSortLocatedStripedBlock.java:testSmallerThanOneStripeWithMultpleDecommnNodes(203)) - Starting test testSmallerThanOneStripeWithDecommn
2020-12-03 07:20:34,961 [Thread-3] INFO  blockmanagement.TestSortLocatedStripedBlock (TestSortLocatedStripedBlock.java:assertDecommnNodePosition(392)) - Block Locations size=10, locs=DatanodeInfoWithStorage[127.0.0.1:1,234b1082-139d-4612-897e-0546f27d8bb2,DISK], j=
2020-12-03 07:20:34,961 [Thread-3] INFO  blockmanagement.TestSortLocatedStripedBlock (TestSortLocatedStripedBlock.java:assertDecommnNodePosition(392)) - Block Locations size=10, locs=DatanodeInfoWithStorage[127.0.0.1:3,4cfe13df-7201-4b0d-a4a6-2ddb758d7dfe,DISK], j=
2020-12-03 07:20:34,961 [Thread-3] INFO  blockmanagement.TestSortLocatedStripedBlock (TestSortLocatedStripedBlock.java:assertDecommnNodePosition(392)) - Block Locations size=10, locs=DatanodeInfoWithStorage[127.0.0.1:6,ea904f8f-4517-410f-b423-2fbe7c9c2c8b,DISK], j=
2020-12-03 07:20:34,962 [Thread-3] INFO  blockmanagement.TestSortLocatedStripedBlock (TestSortLocatedStripedBlock.java:assertDecommnNodePosition(392)) - Block Locations size=10, locs=DatanodeInfoWithStorage[127.0.0.1:7,1d43ef46-4714-4f12-ae8d-4a4ec2df3f69,DISK], j=
2020-12-03 07:20:34,962 [Thread-3] INFO  blockmanagement.TestSortLocatedStripedBlock (TestSortLocatedStripedBlock.java:assertDecommnNodePosition(392)) - Block Locations size=10, locs=DatanodeInfoWithStorage[127.0.0.1:8,0fc88bc5-5210-4f8e-b34b-4547db1ca633,DISK], j=
2020-12-03 07:20:34,962 [Thread-3] INFO  blockmanagement.TestSortLocatedStripedBlock (TestSortLocatedStripedBlock.java:assertDecommnNodePosition(392)) - Block Locations size=10, locs=DatanodeInfoWithStorage[127.0.0.1:9,b8117ddb-646d-461b-abd4-564e1dbcc264,DISK], j=
2020-12-03 07:20:34,962 [Thread-3] INFO  blockmanagement.TestSortLocatedStripedBlock (TestSortLocatedStripedBlock.java:assertDecommnNodePosition(392)) - Block Locations size=10, locs=DatanodeInfoWithStorage[127.0.0.1:11,64197653-e0ee-4415-8195-035d1bab34ef,DISK], j=
2020-12-03 07:20:34,963 [Thread-3] INFO  blockmanagement.TestSortLocatedStripedBlock (TestSortLocatedStripedBlock.java:assertDecommnNodePosition(392)) - Block Locations size=10, locs=DatanodeInfoWithStorage[127.0.0.1:0,714b4170-70d0-445f-913c-17fc54567b34,DISK], j=
2020-12-03 07:20:34,963 [Thread-3] INFO  blockmanagement.TestSortLocatedStripedBlock (TestSortLocatedStripedBlock.java:assertDecommnNodePosition(392)) - Block Locations size=10, locs=DatanodeInfoWithStorage[127.0.0.1:2,f9070b8d-daea-4908-b083-f21c858a874d,DISK], j=
2020-12-03 07:20:34,963 [Thread-3] INFO  blockmanagement.TestSortLocatedStripedBlock (TestSortLocatedStripedBlock.java:assertDecommnNodePosition(392)) - Block Locations size=10, locs=DatanodeInfoWithStorage[127.0.0.1:10,446b05ba-b19f-4718-a410-58e8e23b7238,DISK], j=
2020-12-03 07:20:34,964 [Thread-3] INFO  blockmanagement.TestSortLocatedStripedBlock (TestSortLocatedStripedBlock.java:assertDecommnNodePosition(392)) - Block Locations size=10, locs=DatanodeInfoWithStorage[127.0.0.1:1,333a8b94-3b04-4549-ba1d-f4cb451f9ee6,DISK], j=
2020-12-03 07:20:34,965 [Thread-3] INFO  blockmanagement.TestSortLocatedStripedBlock (TestSortLocatedStripedBlock.java:assertDecommnNodePosition(392)) - Block Locations size=10, locs=DatanodeInfoWithStorage[127.0.0.1:3,6bc13d68-75fc-4c58-8d9d-cfdf168d92c5,DISK], j=
2020-12-03 07:20:34,966 [Thread-3] INFO  blockmanagement.TestSortLocatedStripedBlock (TestSortLocatedStripedBlock.java:assertDecommnNodePosition(392)) - Block Locations size=10, locs=DatanodeInfoWithStorage[127.0.0.1:6,66ca4229-4e0c-4546-af85-6807f0083201,DISK], j=
2020-12-03 07:20:34,966 [Thread-3] INFO  blockmanagement.TestSortLocatedStripedBlock (TestSortLocatedStripedBlock.java:assertDecommnNodePosition(392)) - Block Locations size=10, locs=DatanodeInfoWithStorage[127.0.0.1:7,5ec3c98d-9dec-4382-8107-ff8b56022908,DISK], j=
2020-12-03 07:20:34,966 [Thread-3] INFO  blockmanagement.TestSortLocatedStripedBlock (TestSortLocatedStripedBlock.java:assertDecommnNodePosition(392)) - Block Locations size=10, locs=DatanodeInfoWithStorage[127.0.0.1:8,5749e76b-3a42-4f1c-9a8f-be7afe8f0e0f,DISK], j=
2020-12-03 07:20:34,967 [Thread-3] INFO  blockmanagement.TestSortLocatedStripedBlock (TestSortLocatedStripedBlock.java:assertDecommnNodePosition(392)) - Block Locations size=10, locs=DatanodeInfoWithStorage[127.0.0.1:9,f07b0b56-1aee-481d-9d03-f23bb4d3a10e,DISK], j=
2020-12-03 07:20:34,967 [Thread-3] INFO  blockmanagement.TestSortLocatedStripedBlock (TestSortLocatedStripedBlock.java:assertDecommnNodePosition(392)) - Block Locations size=10, locs=DatanodeInfoWithStorage[127.0.0.1:11,ad467ef8-37e9-4bb8-8b8c-4234278bc7e2,DISK], j=
2020-12-03 07:20:34,967 [Thread-3] INFO  blockmanagement.TestSortLocatedStripedBlock (TestSortLocatedStripedBlock.java:assertDecommnNodePosition(392)) - Block Locations size=10, locs=DatanodeInfoWithStorage[127.0.0.1:0,770c3ac9-f28b-4555-bccd-ccc3d915360f,DISK], j=
2020-12-03 07:20:34,967 [Thread-3] INFO  blockmanagement.TestSortLocatedStripedBlock (TestSortLocatedStripedBlock.java:assertDecommnNodePosition(392)) - Block Locations size=10, locs=DatanodeInfoWithStorage[127.0.0.1:2,3582d1fd-45a9-4276-b52e-6479ed0a1323,DISK], j=
2020-12-03 07:20:34,968 [Thread-3] INFO  blockmanagement.TestSortLocatedStripedBlock (TestSortLocatedStripedBlock.java:assertDecommnNodePosition(392)) - Block Locations size=10, locs=DatanodeInfoWithStorage[127.0.0.1:10,74609504-3ec8-47aa-a602-ce122871c0d9,DISK], j=
msx-rc 0
