2020-12-03 07:20:35,628 [main] INFO  common.Util (Util.java:isDiskStatsEnabled(395)) - dfs.datanode.fileio.profiling.sampling.percentage set to 0. Disabling file IO profiling
2020-12-03 07:20:35,660 [main] INFO  blockmanagement.DatanodeManager (DatanodeManager.java:<init>(303)) - dfs.block.invalidate.limit: configured=1000, counted=60, effected=1000
2020-12-03 07:20:35,660 [main] INFO  blockmanagement.DatanodeManager (DatanodeManager.java:<init>(311)) - dfs.namenode.datanode.registration.ip-hostname-check=true
2020-12-03 07:20:35,661 [main] WARN  blockmanagement.DatanodeManager (DatanodeManager.java:getStaleIntervalFromConf(368)) - The given interval for marking stale datanode = 1800000, which is larger than heartbeat expire interval 630000.
2020-12-03 07:20:35,674 [Thread-3] INFO  blockmanagement.TestSortLocatedStripedBlock (TestSortLocatedStripedBlock.java:testTargetDecommnDatanodeDoesntExists(262)) - Starting test testTargetDecommnDatanodeDoesntExists
2020-12-03 07:20:35,706 [Thread-3] INFO  blockmanagement.TestSortLocatedStripedBlock (TestSortLocatedStripedBlock.java:assertDecommnNodePosition(392)) - Block Locations size=12, locs=DatanodeInfoWithStorage[127.0.0.1:3,e8b9b674-8828-45d1-b058-dc31deab5af4,DISK], j=
2020-12-03 07:20:35,706 [Thread-3] INFO  blockmanagement.TestSortLocatedStripedBlock (TestSortLocatedStripedBlock.java:assertDecommnNodePosition(392)) - Block Locations size=12, locs=DatanodeInfoWithStorage[127.0.0.1:6,037261c9-eeba-4ba6-9e68-858aa65b1b31,DISK], j=
2020-12-03 07:20:35,706 [Thread-3] INFO  blockmanagement.TestSortLocatedStripedBlock (TestSortLocatedStripedBlock.java:assertDecommnNodePosition(392)) - Block Locations size=12, locs=DatanodeInfoWithStorage[127.0.0.1:7,7c0e0679-645a-4bd5-8d97-9a85afd775ee,DISK], j=
2020-12-03 07:20:35,707 [Thread-3] INFO  blockmanagement.TestSortLocatedStripedBlock (TestSortLocatedStripedBlock.java:assertDecommnNodePosition(392)) - Block Locations size=12, locs=DatanodeInfoWithStorage[127.0.0.1:8,f9bce200-d59c-4119-9817-b02b6a1e9682,DISK], j=
2020-12-03 07:20:35,707 [Thread-3] INFO  blockmanagement.TestSortLocatedStripedBlock (TestSortLocatedStripedBlock.java:assertDecommnNodePosition(392)) - Block Locations size=12, locs=DatanodeInfoWithStorage[127.0.0.1:9,624f2bb8-c8e2-4591-9561-7d3cc137debc,DISK], j=
2020-12-03 07:20:35,707 [Thread-3] INFO  blockmanagement.TestSortLocatedStripedBlock (TestSortLocatedStripedBlock.java:assertDecommnNodePosition(392)) - Block Locations size=12, locs=DatanodeInfoWithStorage[127.0.0.1:10,9f3ecfb8-0fe5-44d8-83de-a58a3400bf25,DISK], j=
2020-12-03 07:20:35,707 [Thread-3] INFO  blockmanagement.TestSortLocatedStripedBlock (TestSortLocatedStripedBlock.java:assertDecommnNodePosition(392)) - Block Locations size=12, locs=DatanodeInfoWithStorage[127.0.0.1:11,25cea6c0-9a2d-42be-9c3f-bf38a41d1d70,DISK], j=
2020-12-03 07:20:35,708 [Thread-3] INFO  blockmanagement.TestSortLocatedStripedBlock (TestSortLocatedStripedBlock.java:assertDecommnNodePosition(392)) - Block Locations size=12, locs=DatanodeInfoWithStorage[127.0.0.1:0,bee33e46-c15d-4a61-8d95-fa5b50c0e8cf,DISK], j=
2020-12-03 07:20:35,708 [Thread-3] INFO  blockmanagement.TestSortLocatedStripedBlock (TestSortLocatedStripedBlock.java:assertDecommnNodePosition(392)) - Block Locations size=12, locs=DatanodeInfoWithStorage[127.0.0.1:1,69a326f5-bf28-4cf1-8237-c396d733d248,DISK], j=
2020-12-03 07:20:35,708 [Thread-3] INFO  blockmanagement.TestSortLocatedStripedBlock (TestSortLocatedStripedBlock.java:assertDecommnNodePosition(392)) - Block Locations size=12, locs=DatanodeInfoWithStorage[127.0.0.1:2,1705a18f-3679-45d0-a895-af5256c92ee3,DISK], j=
2020-12-03 07:20:35,709 [Thread-3] INFO  blockmanagement.TestSortLocatedStripedBlock (TestSortLocatedStripedBlock.java:assertDecommnNodePosition(392)) - Block Locations size=12, locs=DatanodeInfoWithStorage[127.0.0.1:4,3204b7a6-ac35-4680-8afc-39ec06736d1b,DISK], j=
2020-12-03 07:20:35,710 [Thread-3] INFO  blockmanagement.TestSortLocatedStripedBlock (TestSortLocatedStripedBlock.java:assertDecommnNodePosition(392)) - Block Locations size=12, locs=DatanodeInfoWithStorage[127.0.0.1:5,a2002f06-e592-4181-ae41-a7169aed3d6b,DISK], j=
2020-12-03 07:20:35,711 [Thread-3] INFO  blockmanagement.TestSortLocatedStripedBlock (TestSortLocatedStripedBlock.java:assertDecommnNodePosition(392)) - Block Locations size=12, locs=DatanodeInfoWithStorage[127.0.0.1:3,7439eb36-c2d3-444d-b506-dbd879738653,DISK], j=
2020-12-03 07:20:35,711 [Thread-3] INFO  blockmanagement.TestSortLocatedStripedBlock (TestSortLocatedStripedBlock.java:assertDecommnNodePosition(392)) - Block Locations size=12, locs=DatanodeInfoWithStorage[127.0.0.1:6,e662cb1b-b2c1-43e6-9f15-91a3a7f3c5b0,DISK], j=
2020-12-03 07:20:35,711 [Thread-3] INFO  blockmanagement.TestSortLocatedStripedBlock (TestSortLocatedStripedBlock.java:assertDecommnNodePosition(392)) - Block Locations size=12, locs=DatanodeInfoWithStorage[127.0.0.1:7,00abdbd7-0c58-4079-8ee9-4800f756577c,DISK], j=
2020-12-03 07:20:35,711 [Thread-3] INFO  blockmanagement.TestSortLocatedStripedBlock (TestSortLocatedStripedBlock.java:assertDecommnNodePosition(392)) - Block Locations size=12, locs=DatanodeInfoWithStorage[127.0.0.1:8,2413f8a7-6d4c-451f-a6b9-77817659266f,DISK], j=
